graph_name,varying_params,yamada,yamada_sigma
sierpinski,"(7, 1)",Y**15 + 9*Y**14 + 57*Y**13 + 252*Y**12 + 924*Y**11 + 2779*Y**10 + 7322*Y**9 + 16696*Y**8 + 34246*Y**7 + 62287*Y**6 + 103453*Y**5 + 154210*Y**4 + 211785*Y**3 + 262605*Y**2 + 301360*Y + 313045 + 301360/Y + 262605/Y**2 + 211785/Y**3 + 154210/Y**4 + 103453/Y**5 + 62287/Y**6 + 34246/Y**7 + 16696/Y**8 + 7322/Y**9 + 2779/Y**10 + 924/Y**11 + 252/Y**12 + 57/Y**13 + 9/Y**14 + Y**(-15),sigma**15 - 6*sigma**14 + 21*sigma**13 - 56*sigma**12 + 126*sigma**11 - 245*sigma**10 + 420*sigma**9 - 645*sigma**8 + 895*sigma**7 - 1120*sigma**6 + 1260*sigma**5 - 1225*sigma**4 + 945*sigma**3 - 490*sigma**2 + 120*sigma
sierpinski,"(8, 1)",Y**21 + 14*Y**20 + 119*Y**19 + 728*Y**18 + 3563*Y**17 + 14546*Y**16 + 51239*Y**15 + 158600*Y**14 + 438416*Y**13 + 1093036*Y**12 + 2480940*Y**11 + 5157096*Y**10 + 9876895*Y**9 + 17493314*Y**8 + 28771383*Y**7 + 44042571*Y**6 + 62935467*Y**5 + 84054698*Y**4 + 105148673*Y**3 + 123252584*Y**2 + 135577488*Y + 139911942 + 135577488/Y + 123252584/Y**2 + 105148673/Y**3 + 84054698/Y**4 + 62935467/Y**5 + 44042571/Y**6 + 28771383/Y**7 + 17493314/Y**8 + 9876895/Y**9 + 5157096/Y**10 + 2480940/Y**11 + 1093036/Y**12 + 438416/Y**13 + 158600/Y**14 + 51239/Y**15 + 14546/Y**16 + 3563/Y**17 + 728/Y**18 + 119/Y**19 + 14/Y**20 + Y**(-21),sigma**21 - 7*sigma**20 + 28*sigma**19 - 84*sigma**18 + 210*sigma**17 - 462*sigma**16 + 916*sigma**15 - 1660*sigma**14 + 2779*sigma**13 - 4333*sigma**12 + 6328*sigma**11 - 8680*sigma**10 + 11200*sigma**9 - 13600*sigma**8 + 15464*sigma**7 - 16261*sigma**6 + 15400*sigma**5 - 12495*sigma**4 + 7980*sigma**3 - 3444*sigma**2 + 720*sigma
complete_graph,"(1,)",-1,-1
complete_graph,"(2,)",0,0
complete_graph,"(3,)",Y + 1 + 1/Y,sigma
complete_graph,"(4,)",Y**3 + 2*Y + 2/Y + Y**(-3),sigma**3 - 3*sigma**2 + 2*sigma
complete_graph,"(5,)",-Y**6 - 2*Y**5 - 11*Y**4 - 15*Y**3 - 40*Y**2 - 40*Y - 61 - 40/Y - 40/Y**2 - 15/Y**3 - 11/Y**4 - 2/Y**5 - 1/Y**6,-sigma**6 + 4*sigma**5 - 10*sigma**4 + 15*sigma**3 - 15*sigma**2 + 6*sigma
complete_graph,"(6,)",-Y**10 - 5*Y**9 - 25*Y**8 - 70*Y**7 - 194*Y**6 - 370*Y**5 - 719*Y**4 - 1015*Y**3 - 1495*Y**2 - 1640*Y - 1892 - 1640/Y - 1495/Y**2 - 1015/Y**3 - 719/Y**4 - 370/Y**5 - 194/Y**6 - 70/Y**7 - 25/Y**8 - 5/Y**9 - 1/Y**10,-sigma**10 + 5*sigma**9 - 15*sigma**8 + 35*sigma**7 - 64*sigma**6 + 96*sigma**5 - 120*sigma**4 + 120*sigma**3 - 80*sigma**2 + 24*sigma
complete_graph,"(7,)",Y**15 + 9*Y**14 + 57*Y**13 + 252*Y**12 + 924*Y**11 + 2779*Y**10 + 7322*Y**9 + 16696*Y**8 + 34246*Y**7 + 62287*Y**6 + 103453*Y**5 + 154210*Y**4 + 211785*Y**3 + 262605*Y**2 + 301360*Y + 313045 + 301360/Y + 262605/Y**2 + 211785/Y**3 + 154210/Y**4 + 103453/Y**5 + 62287/Y**6 + 34246/Y**7 + 16696/Y**8 + 7322/Y**9 + 2779/Y**10 + 924/Y**11 + 252/Y**12 + 57/Y**13 + 9/Y**14 + Y**(-15),sigma**15 - 6*sigma**14 + 21*sigma**13 - 56*sigma**12 + 126*sigma**11 - 245*sigma**10 + 420*sigma**9 - 645*sigma**8 + 895*sigma**7 - 1120*sigma**6 + 1260*sigma**5 - 1225*sigma**4 + 945*sigma**3 - 490*sigma**2 + 120*sigma
complete_graph,"(8,)",Y**21 + 14*Y**20 + 119*Y**19 + 728*Y**18 + 3563*Y**17 + 14546*Y**16 + 51239*Y**15 + 158600*Y**14 + 438416*Y**13 + 1093036*Y**12 + 2480940*Y**11 + 5157096*Y**10 + 9876895*Y**9 + 17493314*Y**8 + 28771383*Y**7 + 44042571*Y**6 + 62935467*Y**5 + 84054698*Y**4 + 105148673*Y**3 + 123252584*Y**2 + 135577488*Y + 139911942 + 135577488/Y + 123252584/Y**2 + 105148673/Y**3 + 84054698/Y**4 + 62935467/Y**5 + 44042571/Y**6 + 28771383/Y**7 + 17493314/Y**8 + 9876895/Y**9 + 5157096/Y**10 + 2480940/Y**11 + 1093036/Y**12 + 438416/Y**13 + 158600/Y**14 + 51239/Y**15 + 14546/Y**16 + 3563/Y**17 + 728/Y**18 + 119/Y**19 + 14/Y**20 + Y**(-21),sigma**21 - 7*sigma**20 + 28*sigma**19 - 84*sigma**18 + 210*sigma**17 - 462*sigma**16 + 916*sigma**15 - 1660*sigma**14 + 2779*sigma**13 - 4333*sigma**12 + 6328*sigma**11 - 8680*sigma**10 + 11200*sigma**9 - 13600*sigma**8 + 15464*sigma**7 - 16261*sigma**6 + 15400*sigma**5 - 12495*sigma**4 + 7980*sigma**3 - 3444*sigma**2 + 720*sigma
complete_graph,"(9,)",-Y**28 - 20*Y**27 - 226*Y**26 - 1824*Y**25 - 11631*Y**24 - 61728*Y**23 - 281826*Y**22 - 1131597*Y**21 - 4060584*Y**20 - 13178411*Y**19 - 39045526*Y**18 - 106394003*Y**17 - 268232007*Y**16 - 628763775*Y**15 - 1376049702*Y**14 - 2821263492*Y**13 - 5434821753*Y**12 - 9861254880*Y**11 - 16889010776*Y**10 - 27351497737*Y**9 - 41950018766*Y**8 - 61012699329*Y**7 - 84241246503*Y**6 - 110519700135*Y**5 - 137877332085*Y**4 - 163658803409*Y**3 - 184918043490*Y**2 - 198951463082*Y - 203858402445 - 198951463082/Y - 184918043490/Y**2 - 163658803409/Y**3 - 137877332085/Y**4 - 110519700135/Y**5 - 84241246503/Y**6 - 61012699329/Y**7 - 41950018766/Y**8 - 27351497737/Y**9 - 16889010776/Y**10 - 9861254880/Y**11 - 5434821753/Y**12 - 2821263492/Y**13 - 1376049702/Y**14 - 628763775/Y**15 - 268232007/Y**16 - 106394003/Y**17 - 39045526/Y**18 - 13178411/Y**19 - 4060584/Y**20 - 1131597/Y**21 - 281826/Y**22 - 61728/Y**23 - 11631/Y**24 - 1824/Y**25 - 226/Y**26 - 20/Y**27 - 1/Y**28,-sigma**28 + 8*sigma**27 - 36*sigma**26 + 120*sigma**25 - 330*sigma**24 + 792*sigma**23 - 1716*sigma**22 + 3423*sigma**21 - 6363*sigma**20 + 11116*sigma**19 - 18368*sigma**18 + 28854*sigma**17 - 43260*sigma**16 + 62076*sigma**15 - 85428*sigma**14 + 112917*sigma**13 - 143493*sigma**12 + 175308*sigma**11 - 205660*sigma**10 + 231014*sigma**9 - 246918*sigma**8 + 248136*sigma**7 - 229887*sigma**6 + 190260*sigma**5 - 133749*sigma**4 + 73612*sigma**3 - 27468*sigma**2 + 5040*sigma
