graph_name,varying_params,yamada,yamada_sigma
fan,"(9,)",-Y**8 - Y**7 - 8*Y**6 - 7*Y**5 - 28*Y**4 - 21*Y**3 - 56*Y**2 - 35*Y - 70 - 35/Y - 56/Y**2 - 21/Y**3 - 28/Y**4 - 7/Y**5 - 8/Y**6 - 1/Y**7 - 1/Y**8,-sigma**8 + 7*sigma**7 - 21*sigma**6 + 35*sigma**5 - 35*sigma**4 + 21*sigma**3 - 7*sigma**2 + sigma
fan,"(10,)",Y**9 + Y**8 + 9*Y**7 + 8*Y**6 + 36*Y**5 + 28*Y**4 + 84*Y**3 + 56*Y**2 + 126*Y + 70 + 126/Y + 56/Y**2 + 84/Y**3 + 28/Y**4 + 36/Y**5 + 8/Y**6 + 9/Y**7 + Y**(-8) + Y**(-9),sigma**9 - 8*sigma**8 + 28*sigma**7 - 56*sigma**6 + 70*sigma**5 - 56*sigma**4 + 28*sigma**3 - 8*sigma**2 + sigma
fan,"(11,)",-Y**10 - Y**9 - 10*Y**8 - 9*Y**7 - 45*Y**6 - 36*Y**5 - 120*Y**4 - 84*Y**3 - 210*Y**2 - 126*Y - 252 - 126/Y - 210/Y**2 - 84/Y**3 - 120/Y**4 - 36/Y**5 - 45/Y**6 - 9/Y**7 - 10/Y**8 - 1/Y**9 - 1/Y**10,-sigma**10 + 9*sigma**9 - 36*sigma**8 + 84*sigma**7 - 126*sigma**6 + 126*sigma**5 - 84*sigma**4 + 36*sigma**3 - 9*sigma**2 + sigma
wheel,"(3,)",Y**3 + 2*Y + 2/Y + Y**(-3),sigma**3 - 3*sigma**2 + 2*sigma
wheel,"(4,)",-Y**4 - 4*Y**2 - Y - 6 - 1/Y - 4/Y**2 - 1/Y**4,-sigma**4 + 4*sigma**3 - 6*sigma**2 + 3*sigma
wheel,"(5,)",Y**5 + 5*Y**3 + 9*Y + 9/Y + 5/Y**3 + Y**(-5),sigma**5 - 5*sigma**4 + 10*sigma**3 - 10*sigma**2 + 4*sigma
wheel,"(6,)",-Y**6 - 6*Y**4 - 15*Y**2 - Y - 20 - 1/Y - 15/Y**2 - 6/Y**4 - 1/Y**6,-sigma**6 + 6*sigma**5 - 15*sigma**4 + 20*sigma**3 - 15*sigma**2 + 5*sigma
wheel,"(7,)",Y**7 + 7*Y**5 + 21*Y**3 + 34*Y + 34/Y + 21/Y**3 + 7/Y**5 + Y**(-7),sigma**7 - 7*sigma**6 + 21*sigma**5 - 35*sigma**4 + 35*sigma**3 - 21*sigma**2 + 6*sigma
wheel,"(8,)",-Y**8 - 8*Y**6 - 28*Y**4 - 56*Y**2 - Y - 70 - 1/Y - 56/Y**2 - 28/Y**4 - 8/Y**6 - 1/Y**8,-sigma**8 + 8*sigma**7 - 28*sigma**6 + 56*sigma**5 - 70*sigma**4 + 56*sigma**3 - 28*sigma**2 + 7*sigma
wheel,"(9,)",Y**9 + 9*Y**7 + 36*Y**5 + 84*Y**3 + 125*Y + 125/Y + 84/Y**3 + 36/Y**5 + 9/Y**7 + Y**(-9),sigma**9 - 9*sigma**8 + 36*sigma**7 - 84*sigma**6 + 126*sigma**5 - 126*sigma**4 + 84*sigma**3 - 36*sigma**2 + 8*sigma
wheel,"(10,)",-Y**10 - 10*Y**8 - 45*Y**6 - 120*Y**4 - 210*Y**2 - Y - 252 - 1/Y - 210/Y**2 - 120/Y**4 - 45/Y**6 - 10/Y**8 - 1/Y**10,-sigma**10 + 10*sigma**9 - 45*sigma**8 + 120*sigma**7 - 210*sigma**6 + 252*sigma**5 - 210*sigma**4 + 120*sigma**3 - 45*sigma**2 + 9*sigma
wheel,"(11,)",Y**11 + 11*Y**9 + 55*Y**7 + 165*Y**5 + 330*Y**3 + 461*Y + 461/Y + 330/Y**3 + 165/Y**5 + 55/Y**7 + 11/Y**9 + Y**(-11),sigma**11 - 11*sigma**10 + 55*sigma**9 - 165*sigma**8 + 330*sigma**7 - 462*sigma**6 + 462*sigma**5 - 330*sigma**4 + 165*sigma**3 - 55*sigma**2 + 10*sigma
